time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.114	1100.000	8461.11	nan	nan	4.5	1100	1100	nan	1016.02	809.166	8461.11	4420.64	0	0	0.0113169	0.988683	0.216049	0.493141	0.282236	0.00857339	1	0	0
0.115	1100.000	8731.22	nan	nan	4.5	1100	1100	nan	1016.02	809.182	8731.22	4420.2	0	0	0.0174897	0.98251	0.207133	0.505144	0.280178	0.00754458	1	0	0
0.116	1100.000	9342.68	nan	nan	4.5	1100	1100	nan	1016.02	809.2	9342.68	4419.66	0	0	0.00720165	0.992798	0.207133	0.507888	0.27332	0.0116598	1	0	0
0.117	1100.000	9073.19	nan	nan	4.5	1100	1100	nan	1016.04	809.177	9073.19	4420.28	0	0	0.0123457	0.987654	0.20439	0.504458	0.282922	0.00823045	1	0	0
0.118	1100.000	8183.34	nan	nan	4.5	1100	1100	nan	1016.01	809.166	8183.34	4420.66	0	0	0.0113169	0.988683	0.209191	0.501029	0.281893	0.00788752	1	0	0
0.119	1100.000	8294.49	nan	nan	4.5	1100	1100	nan	1016.02	809.16	8294.49	4420.81	0	0	0.00925926	0.990741	0.210562	0.499314	0.284636	0.00548697	1	0	0
0.12	1100.000	7984.62	nan	nan	4.5	1100	1100	nan	1016.01	809.162	7984.62	4420.81	0	0	0.0113169	0.988683	0.216049	0.495542	0.280864	0.00754458	1	0	0
0.121	1100.000	8273.69	nan	nan	4.5	1100	1100	nan	1016	809.178	8273.69	4420.36	0	0	0.0164609	0.983539	0.22085	0.48834	0.280864	0.00994513	1	0	0
0.122	1100.000	7864.97	nan	nan	4.5	1100	1100	nan	1015.99	809.17	7864.97	4420.62	0	0	0.0144033	0.985597	0.216735	0.483196	0.291838	0.00823045	1	0	0
0.123	1100.000	7732.74	nan	nan	4.5	1100	1100	nan	1015.99	809.168	7732.74	4420.69	0	0	0.0133745	0.986626	0.222222	0.48011	0.290466	0.00720165	1	0	0
0.124	1100.000	8033.43	nan	nan	4.5	1100	1100	nan	1015.99	809.174	8033.43	4420.5	0	0	0.0174897	0.98251	0.22085	0.480453	0.291495	0.00720165	1	0	0
0.125	1100.000	8985.31	nan	nan	4.5	1100	1100	nan	1016.03	809.183	8985.31	4420.14	0	0	0.0236626	0.976337	0.207819	0.492798	0.290809	0.00857339	1	0	0
0.126	1100.000	8974.97	nan	nan	4.5	1100	1100	nan	1016.02	809.187	8974.97	4420.04	0	0	0.0164609	0.983539	0.200274	0.51166	0.280864	0.00720165	1	0	0
0.127	1100.000	9047.58	nan	nan	4.5	1100	1100	nan	1016	809.202	9047.58	4419.64	0	0	0.0164609	0.983539	0.199588	0.498971	0.292524	0.00891632	1	0	0
0.128	1100.000	8175.65	nan	nan	4.5	1100	1100	nan	1015.99	809.182	8175.65	4420.28	0	0	0.0195473	0.980453	0.202332	0.504115	0.286008	0.00754458	1	0	0
0.129	1100.000	8478.75	nan	nan	4.5	1100	1100	nan	1015.99	809.193	8478.75	4419.96	0	0	0.0144033	0.985597	0.196159	0.509945	0.282579	0.0113169	1	0	0
0.13	1100.000	8157.67	nan	nan	4.5	1100	1100	nan	1015.99	809.178	8157.67	4420.37	0	0	0.0164609	0.983539	0.1893	0.520576	0.283265	0.00685871	1	0	0
0.131	1100.000	9348.18	nan	nan	4.5	1100	1100	nan	1016.04	809.182	9348.18	4420.12	0	0	0.0257202	0.97428	0.179012	0.527092	0.284294	0.00960219	1	0	0
0.132	1100.000	9795.61	nan	nan	4.5	1100	1100	nan	1016.05	809.195	9795.61	4419.72	0	0	0.0154321	0.984568	0.184499	0.50823	0.297325	0.00994513	1	0	0
0.133	1100.000	8655.96	nan	nan	4.5	1100	1100	nan	1016.02	809.178	8655.96	4420.31	0	0	0.0123457	0.987654	0.194787	0.501372	0.296296	0.00754458	1	0	0
0.134	1100.000	8252.83	nan	nan	4.5	1100	1100	nan	1016.01	809.167	8252.83	4420.64	0	0	0.0154321	0.984568	0.183813	0.507202	0.302126	0.00685871	1	0	0
0.135	1100.000	7689.65	nan	nan	4.5	1100	1100	nan	1015.99	809.165	7689.65	4420.76	0	0	0.0133745	0.986626	0.195473	0.505144	0.290466	0.00891632	1	0	0
0.136	1100.000	7766.13	nan	nan	4.5	1100	1100	nan	1016	809.161	7766.13	4420.85	0	0	0.0195473	0.980453	0.200274	0.503086	0.28738	0.00925926	1	0	0
0.137	1100.000	8334.62	nan	nan	4.5	1100	1100	nan	1016.02	809.164	8334.62	4420.72	0	0	0.0174897	0.98251	0.205761	0.497599	0.288066	0.00857339	1	0	0
0.138	1100.000	7473.89	nan	nan	4.5	1100	1100	nan	1016	809.149	7473.89	4421.19	0	0	0.0133745	0.986626	0.202332	0.512346	0.278121	0.00720165	1	0	0
0.139	1100.000	8184.59	nan	nan	4.5	1100	1100	nan	1016.03	809.153	8184.59	4421.01	0	0	0.0154321	0.984568	0.207819	0.496571	0.288752	0.00685871	1	0	0
